trial,k,target_index,expected_sample,expected_ms,expected_m,sh_found_sample,sh_found_ms,sh_norm_amp,sh_detected,sh_time_error_ms,rn_found_sample,rn_found_ms,rn_norm_amp,rn_detected,rn_time_error_ms
16,0,0,20,0.0004,60.0,20,0.0004,1.1354878714421837,True,0.0,20,0.0004,1.0290928090918952,True,0.0
16,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.4193598393027296,True,-8e-05,20,0.0004,1.286366011364869,True,-8e-05
16,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.6898611927246474,True,0.00024000000000000003,72,0.00144,1.4934863369232496,True,0.00024000000000000003
16,1,0,72,0.00144,216.0,72,0.00144,1.0139167156347884,True,0.0,72,0.00144,0.8960918021539497,True,0.0
16,1,1,76,0.00152,228.0,72,0.00144,1.2673958945434853,True,-8e-05,72,0.00144,1.120114752692437,True,-8e-05
16,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.6115677569378184,True,0.00024000000000000003,124,0.00248,1.5869167811817058,True,0.00024000000000000003
16,2,0,124,0.00248,372.0,124,0.00248,0.966940654162691,True,0.0,124,0.00248,0.9521500687090234,True,0.0
16,2,1,128,0.00256,384.0,124,0.00248,1.2086758177033636,True,-8e-05,124,0.00248,1.1901875858862792,True,-8e-05
16,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.045377163238424,True,0.0,164,0.0032800000000000004,0.8303513243190491,True,0.0
17,0,0,20,0.0004,60.0,20,0.0004,0.847125234016654,True,0.0,20,0.0004,0.9643875598591081,True,0.0
17,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.0589065425208173,True,-8e-05,20,0.0004,1.205484449823885,True,-8e-05
17,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.9184668774887135,True,0.00024000000000000003,72,0.00144,1.8044627512584075,True,0.00024000000000000003
17,1,0,72,0.00144,216.0,72,0.00144,1.151080126493228,True,0.0,72,0.00144,1.0826776507550444,True,0.0
17,1,1,76,0.00152,228.0,72,0.00144,1.438850158116535,True,-8e-05,72,0.00144,1.3533470634438054,True,-8e-05
17,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.7212117504374667,True,0.00024000000000000003,124,0.00248,1.5518872387910816,True,0.00024000000000000003
17,2,0,124,0.00248,372.0,124,0.00248,1.03272705026248,True,0.0,124,0.00248,0.9311323432746489,True,0.0
17,2,1,128,0.00256,384.0,124,0.00248,1.2909088128280999,True,-8e-05,124,0.00248,1.1639154290933111,True,-8e-05
17,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9454015742416555,True,0.0,164,0.0032800000000000004,1.1172717984581435,True,0.0
18,0,0,20,0.0004,60.0,20,0.0004,0.8785559205838699,True,0.0,20,0.0004,0.9668592937992985,True,0.0
18,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.0981949007298373,True,-8e-05,20,0.0004,1.2085741172491231,True,-8e-05
18,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.8415012422956798,True,0.00024000000000000003,72,0.00144,1.542251196729145,True,0.00024000000000000003
18,1,0,72,0.00144,216.0,72,0.00144,1.1049007453774078,True,0.0,72,0.00144,0.925350718037487,True,0.0
18,1,1,76,0.00152,228.0,72,0.00144,1.3811259317217597,True,-8e-05,72,0.00144,1.1566883975468587,True,-8e-05
18,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.9260223767609252,True,0.00024000000000000003,124,0.00248,1.495353496912727,True,0.00024000000000000003
18,2,0,124,0.00248,372.0,124,0.00248,1.1556134260565551,True,0.0,124,0.00248,0.8972120981476361,True,0.0
18,2,1,128,0.00256,384.0,124,0.00248,1.444516782570694,True,-8e-05,124,0.00248,1.121515122684545,True,-8e-05
18,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.8028269744328685,True,0.0,164,0.0032800000000000004,1.121861583998192,True,0.0
19,0,0,20,0.0004,60.0,20,0.0004,0.995866478973856,True,0.0,20,0.0004,0.997784967342759,True,0.0
19,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.24483309871732,True,-8e-05,20,0.0004,1.2472312091784488,True,-8e-05
19,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.7458876152182206,True,0.00024000000000000003,72,0.00144,1.2644771152596705,True,0.00024000000000000003
19,1,0,72,0.00144,216.0,72,0.00144,1.0475325691309323,True,0.0,72,0.00144,0.7586862691558023,True,0.0
19,1,1,76,0.00152,228.0,72,0.00144,1.3094157114136653,True,-8e-05,72,0.00144,0.9483578364447528,True,-8e-05
19,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.773846322764614,True,0.00024000000000000003,124,0.00248,1.4232366807813097,True,0.00024000000000000003
19,2,0,124,0.00248,372.0,124,0.00248,1.0643077936587684,True,0.0,124,0.00248,0.8539420084687858,True,0.0
19,2,1,128,0.00256,384.0,124,0.00248,1.3303847420734605,True,-8e-05,124,0.00248,1.067427510585982,True,-8e-05
19,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.054344201032934,True,0.0,164,0.0032800000000000004,1.2314735556345333,True,0.0
